Tibetan Name (Original),File Number,English Name,Status, Section ,,,
????? ?????????????????????????????,4|218,Nepal Mentse Khang,Inactive, Nepal Branch ,,,
???? ???????????????????,4|61,Nepal Sharkhum Tibetan Settlement Office,Inactive, Nepal Branch ,,,
????? ??????????????????,4|270,Nepal Jorpati BRDL,Inactive, Nepal Branch ,,,
????? ?????????????????????????,4|271,Nepal Boudha BRDL,Inactive, Nepal Branch ,,,
????? ??????????????????????,4|272,Nepal Kathmandu BRDL,Inactive, Nepal Branch ,,,
????? ????????????????????????,4|273,Nepal Pharshing BRDL,Inactive, Nepal Branch ,,,
????? ????????????????????????,4|280,Nepal Jawalakhel BRDL,Inactive, Nepal Branch ,,,
????? ????????????????????????????,4|284,Nepal Pokhara Tashiling BRDL,Inactive, Nepal Branch ,,,
????? ???????????????????????????????,4|285,Nepal Pokhara Palkhiel BRDL,Inactive, Nepal Branch ,,,
????? ??????????????????????????????,4|286,Nepal Pokhara Paljorling BRDL,Inactive, Nepal Branch ,,,
????? ???????????????????????????,4|287,Nepal Pokhara Jampaling BRDL,Inactive, Nepal Branch ,,,
????? ?????????????????????????????,4|314,Nepal Norzinling BRDL,Inactive, Nepal Branch ,,,
????? ???????????????????????????????????,4|338,Nepal Sharkhum Delekling BRDL,Inactive, Nepal Branch ,,,
????? ????????????????????????????,4|339,Nepal Sharkhum Nagche BRDL,Inactive, Nepal Branch ,,,
????? ??????????????????????????????????,4|341,Nepal Walung Sampheling BRDL,Inactive, Nepal Branch ,,,
????? ??????????????????????????,4|345,Nepal Manang BRDL,Inactive, Nepal Branch ,,,
????? ???????????????????????????????????,4|349,Rasuwa Gegyeling BRDL,Inactive, Nepal Branch ,,,
???? ?????????????????????????????,4|32,Mainpat Tibetan Settlement Office,Inactive, South Branch ,,,
???? ??????????????????????????,4|59,Mainpat Tibetan Refugee Multipurpose Co-operative Society Ltd,Inactive, South Branch ,,,
???? ??????????????????????????????,4|60,Orisa Settlement Office,Inactive, South Branch ,,,
???? ?????????????????????????????????????????,4|69,Odisha Phuntsokling Multi-Purppose Tibetan Co-operative Society Ltd,Inactive, South Branch ,,,
???? ??????????????????????????????????????????,4|70,Odisha Phuntsokling Tibetan Handicraft Centre,Inactive, South Branch ,,,
???? ??????????????????????????????????,4|77,Bandra Tibetan Settlement Office & Chimi Office,Inactive, South Branch ,,,
???? ??????????????????????????????????????????,4|78,Bhandara Norgyeling Tibetan Multi-Purpose Co-operative Society Ltd,Inactive, South Branch ,,,
???? ??????????????????????????????,4|99,Odisha Primary Health Center,Inactive, South Branch ,,,
????? ?????????????????????????????????????,1|132,Odisha Phuntsokling LTA,Inactive, South Branch ,,,
????? ?????????????????????????????,4|178,Bhandara Primary Health Center,Inactive, South Branch ,,,
????? ???????????????????????????????????????,4|217,Mainpat Phendeyling Primary Health Center,Inactive, South Branch ,,,
?????? ?????????????????,|4|304,Bhandara BRDL,Inactive, South Branch ,,,
????? ??????????????????????????,4|305,Bandra STS School,Inactive, South Branch ,,,
????? ????????????????????????,4|308,Mainpat STS School,Inactive, South Branch ,,,
????? ?????????????????????,4|313,Mainpat BRDL,Inactive, South Branch ,,,
????? ??????????????????????????????????????????????,4|346,Lobersing Primary School,Inactive, South Branch ,,,
????? ???????????????????????????????????????????????,4|347,Chandragiri Primary School,Inactive, South Branch ,,,
??? ?????????????????????????,4|4,Paonta STS School,Inactive, Dekyiling Branch ,,,
???? ????????????????????????,4|48,Paonta Tibetan Cholsum Industrial Society,Inactive, Dekyiling Branch ,,,
???? ?????????????????? ??????????????,4|53,Sataun Kham Kathok Tibetan Society,Inactive, Dekyiling Branch ,,,
???? ?????????????????? ?????????????????,4|57,Dehradun Settlement Office & Drinking Water Project,Inactive, Dekyiling Branch ,,,
???? ???????????????????????????????????????,4|58,Dekyiling Tibetan Handicraft Cum Training & Charitable Society,Inactive, Dekyiling Branch ,,,
????? ???????????????????????????????????????,4|152,Dehradun TCV Tibetan Private Industrial Training Institute (TCV ITI),Inactive, Dekyiling Branch ,,,
????? ???????????????????????,4|154,Dekyiling Primary Health Center,Inactive, Dekyiling Branch ,,,
????? ?????????????????,4|160,THF Mussoorie,Inactive, Dekyiling Branch ,,,
????? ??????????????????????????????????????????????,4|162,Ngoenga School for Tibetan Children with Special Needs,Inactive, Dekyiling Branch ,,,
????? ???????????????????????????????,4|168,Rajpur Tibetan Women's Centre,Inactive, Dekyiling Branch ,,,
????? ???????????????????????????,4|175,Dehradun Selakui TCV School,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????????,4|191,Puruwala STS School,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????????????,4|193,Dekyiling STS School,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????????,4|206,Dekyiling LTA,Inactive, Dekyiling Branch ,,,
????? ???????????????????????????? ,4|211,Dhondupling BRDL,Inactive, Dekyiling Branch ,,,
????? ????????????????,4|241,Mussoorie BRDL,Inactive, Dekyiling Branch ,,,
????? ???????????????????????,4|212,Lingtsong BRDL,Inactive, Dekyiling Branch ,,,
????? ???????????????????????,4|213,Dekyiling BRDL,Inactive, Dekyiling Branch ,,,
????? ??????????????????????????????,4|214,Paonta Cholsum BRDL,Inactive, Dekyiling Branch ,,,
????? ??????????????????,4|220,Rajpur BRDL,Inactive, Dekyiling Branch ,,,
????? ???????????????????,4|222,Sataun Kathok Tibetan Settlement Office,Inactive, Dekyiling Branch ,,,
????? ?????????????????????,4|223,Herbertpur Doegu Yugyaling Settlement Office,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????,4|224,Puruwala Sakya Settlement Office,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????????,4|225,Paonta Cholsum Settlement Office,Inactive, Dekyiling Branch ,,,
????? ???????????????????,4|234,Puruwala BRDL,Inactive, Dekyiling Branch ,,,
????? ?????????????????,4|248,Herbertpur BRDL,Inactive, Dekyiling Branch ,,,
????? ?????????????????,4|242,Puruwala BRDL,Inactive, Dekyiling Branch ,,,
????? ????????? ????????????????????,4|258,Sataun Kathok Primary Health Center,Inactive, Dekyiling Branch ,,,
????? ????????????????,4|275,Kumrao BRDL,Inactive, Dekyiling Branch ,,,
????? ????????????????????????????,4|276,Kumrao Primary Health Center,Inactive, Dekyiling Branch ,,,
????? ??????????????????????,4|277,Kumrao Settlement Office,Inactive, Dekyiling Branch ,,,
????? ??????????????????????????????,4|283,Kumrao Tibetan Welfare Society,Inactive, Dekyiling Branch ,,,
????? ?????????????????,4|303,Nanital BRDL,Inactive, Dekyiling Branch ,,,
????? ??????????????????????????,4|320,Saharanpur BRDL,Inactive, Dekyiling Branch ,,,
????? ????????????????????????,4|329,Haridwar BRDL,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????,4|334,Salugara Incense Production Unit (A Unit of TMAI),Inactive, Dekyiling Branch ,,,
????? ?????????????????????????????????????,4|335,Bhutan Tibetan Welfare Office,Inactive, Dekyiling Branch ,,,
????? ????????????????????,4|336,Bhutan BRDL,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????????????,4|337,Sataun Chigyak Office,Inactive, Dekyiling Branch ,,,
????? ??????????????????????????????????,4|340,Paonta Cholsum Chigyak Office,Inactive, Dekyiling Branch ,,,
????? ????????????????????????????,4|343,Herbertpur Chigyak Office,Inactive, Dekyiling Branch ,,,
????? ???????????????????????????????????????????????,4|348,Dekyiling Sowarigpa,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????????,4|353,Herbertpur Tibetan Joint Co-operative Agriculture Society Ltd,Inactive, Dekyiling Branch ,,,
????? ???????????????????????????,4|361,Mussoorie Sambhota Tibetan School,Inactive, Dekyiling Branch ,,,
????? ???????????????????????????,4|362,Herbertpur Sambhota Tibetan School,Inactive, Dekyiling Branch ,,,
???? ???????????????????????????????,4|27,Gangtok Hotel Tibet,Inactive, Dekyiling Branch ,,,
???? ??????????????????????????,4|63,Tenzin Gang Multipurpose Cooperative Society Ltd,Inactive, Dekyiling Branch ,,,
???? ?????????????????????????????,4|64,Tezu Dhargayling Tibetan Multipurpose Co-operative Society Ltd,Inactive, Dekyiling Branch ,,,
???? ?????????????????????????????,4|65,Miao Choephelling Tibetan Service Co-operative Society Ltd,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????????,4|103,Bomdila Settlement Office,Inactive, Dekyiling Branch ,,,
????? ????????????????????????????????????,4|109,Tenzingang Settlement Office,Inactive, Dekyiling Branch ,,,
????? ????????????????????????????????????????,4|114,Gangtok Settlement Office & PHC,Inactive, Dekyiling Branch ,,,
????? ???????????????????????? ????????????????? ,4|127,Sonada Co-operative Society & School's Hostel,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????????????????????,4|148,Tezu Dhargye Ling Settlement Office,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????????????????????,4|149,Miao Choephelling Settlement Office,Inactive, Dekyiling Branch ,,,
????? ???????????????????????????,4|158,Gangtok STS ,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????,4|352,Dimapur BRDL,Inactive, Dekyiling Branch ,,,
????? ????????????????????????????,4|357,Gangtok Primary Health Center,Inactive, Dekyiling Branch ,,,
????? ??????????????????????,4|358,Darjeeling Sambhota Tibetan School,Inactive, Dekyiling Branch ,,,
????? ????????????????,4|359,Kalimpong Sambhota Tibetan School,Inactive, Dekyiling Branch ,,,
????? ???????????????????????????????????,4|173,Ravangla Kunphenling Settlement Office & AET,Inactive, Dekyiling Branch ,,,
????? ??????????????????????????????,4|176,Ravangla Kunphenling Tibetan Co-operative Society Ltd,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????,4|189,Shillong STS School,Inactive, Dekyiling Branch ,,,
????? ????????????????????????????????,4|190,Pokhriabong STS School,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????????,4|202,Shillong Settlement Office,Inactive, Dekyiling Branch ,,,
????? ????????????????????????????????,4|215,Darjeeling Settlement Office,Inactive, Dekyiling Branch ,,,
????? ??????????????????????????,4|231,Sonada Tibetan settlement office and Primary Health Care,Inactive, Dekyiling Branch ,,,
????? ????????????????,4|235,Ravangla Primary Health Center,Inactive, Dekyiling Branch ,,,
????? ????????????????????,4|236,Kalimpong Settlement Office,Inactive, Dekyiling Branch ,,,
????? ???????????????,4|255,Shillong BRDL,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????????,4|259,Tenzingang Primary Health Center,Inactive, Dekyiling Branch ,,,
????? ?????????????,4|260,Miao BRDL,Inactive, Dekyiling Branch ,,,
????? ??????????????????,4|261,Darjeeling BRDL,Inactive, Dekyiling Branch ,,,
????? ???????????????,4|266,Kalimpong BRDL,Inactive, Dekyiling Branch ,,,
????? ??????????????????,4|267,Salugara BRDL,Inactive, Dekyiling Branch ,,,
????? ?????????????????,4|290,Tuting BRDL,Inactive, Dekyiling Branch ,,,
????? ??????????????????????????,4|291,Tuting Tibetan Settlement Office & Primary Health Center,Inactive, Dekyiling Branch ,,,
????? ???????????????????????,4|240,Sonada Tibetan Settlement Office,Inactive, Dekyiling Branch ,,,
????? ??????????????????????????,4|245,Gangtok BRDL,Inactive, Dekyiling Branch ,,,
????? ??????????????,4|252,Tezu BRDL,Inactive, Dekyiling Branch ,,,
????? ???????????????,4|253,Ravangla BRDL,Inactive, Dekyiling Branch ,,,
????? ??????????????????,4|254,Sonada BRDL,Inactive, Dekyiling Branch ,,,
????? ?????????????????,4|256,Tenzingang BRDL,Inactive, Dekyiling Branch ,,,
????? ???????????????????,4|302,Bomdila BRDL,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????,4|306,Tenzingang STS School,Inactive, Dekyiling Branch ,,,
????? ?????????????????????????,4|310,Olabari BRDL,Inactive, Dekyiling Branch ,,,
????? ??????????????????????? ??????,4|311,Jaigaon BRDL,Inactive, Dekyiling Branch ,,,
????? ????????????????????????,4|312,Ravangla STS School,Inactive, Dekyiling Branch ,,,
